"SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
185,177.068,149,87.02,60.021,121.122,102.985,145
0,0,0,0,1,0,0,0
20152.252,15640.67,32363.488,27427.718,2404.655,10104.958,32559.278,34040.246
0,0,1,0,2,0,2,0
0,0,0,0,1,0,0,0
262.433,393.118,349.135,162.609,344.834,404.201,106.01,589.679
2,0,0,0,0,0,0,6.63
753.519,704.501,953.696,504.273,781.346,860.472,642.685,641.823
252.034,219.938,372.071,191.234,346.802,406.724,320.306,299.76
1.817,3,3,0,0,2,0,0
1,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0
2,7,7,6,0,3,4,15
139.613,110.797,129.818,34,179.119,146.837,125.913,80.933
414.132,714.201,544.527,722.684,342.704,675.585,415.999,707.619
256.066,236.146,412.65,165.166,363.642,483.165,314.693,228.214
1140.98,977.134,1379.963,811.713,1459.611,1702.514,1163.335,1057.502
194.349,225.8,296.736,202.191,260.202,387.062,174.66,279.907
1280.359,1510.941,1401.333,868.676,1317.398,2027.394,1066.667,1397.201
0,0,1,0,0,2,0,2
652.506,650.635,693.139,465.597,715.869,1009.032,501.085,622.25
1,2,0,2,0,2,0,4
2766.705,1970.392,3326.595,1564.447,3190.13,3152.091,3739.768,1911.002
375.497,226.143,380.04,130.733,376.078,308.32,294.577,205.306
333.07,252.321,326.523,155.496,276.914,317.9,223.412,236.124
236.36,120.113,310.097,151.948,269.906,310.431,167.77,79.328
640.011,587,747,442,778.359,872.284,575.126,604.006
439.433,855.508,725.132,852.502,450.865,1257.238,538.785,1422.081
713.523,725.249,703.739,524.821,821.103,1082.474,574.707,668.983
24.713,24.673,20.562,9.218,13.277,8.606,30.632,18.394
0,0,0,0,0,0,0,0
313.598,667.808,352.014,475.053,395,973.018,311,684.535
12,9,10,7,11,44,7,36
57.427,41.622,111.212,59.714,61.467,90.127,83.204,87.39
5181.704,5069.609,7929.568,5345.937,10455.153,10631.311,7781.725,9115.108
207.068,107,98.938,4.649,139.451,28.992,116.592,12.817
7,0,9,2,4,3,4,0
21,10.002,55,23,76,115,40,30
1120.528,722.517,1435.064,738.248,1400.291,2420.015,1406.38,1436.16
123,69,172.15,0,0,0,148,128.375
12,28,36.032,33,12,70.991,25.877,44.968
152.842,121.587,160.278,101.075,118.158,153.506,186.517,133.791
373.705,517.677,127.696,130.626,227.251,524.333,127.812,585.494
153,88,240,66,232.042,170,146.001,88
1382.212,1581.474,1578.244,553.732,1687.653,1648.391,1102.398,1320.078
1119.621,1528.346,2230.658,1590.132,1868.795,1786.261,2196.099,2674.888
45.052,18.778,30.52,29.936,31.913,4.324,0,27.755
274.114,273.846,299.887,236.007,295,458.026,244.883,310.863
0,0,0,0,0,0,0,0
22.102,0,1.042,12.379,8.185,11.352,41.993,0
20,3,65.448,11.001,8,10,17,5
435.326,263.911,368.248,194.765,377.545,556.592,157.397,233.115
116.526,130.492,86.432,92.105,108.095,128.608,186.651,99.215
393.494,483.344,570.159,312.189,462.477,536.433,388.511,346.063
132.128,84.268,128.383,38.477,125.905,114.179,122.648,65.773
5678.228,3841.694,5232.001,2216.571,6438.126,5433.761,4025.254,3262.357
102.58,136.744,307.143,55.153,148.487,164.295,114.571,89.075
5,4,1,2,8,0,3,11
0,0,0,0,0,0,0,0
117.731,184.636,193.473,151.885,262.518,629.784,155.057,280.406
0,0,0,2.539,0,0,0,0
976.885,814.95,936.636,769.112,1163.632,1764.999,843.719,1374.022
96.799,44.847,147.766,36.861,184.929,104.018,134.496,50.569
0,0,0,0,0,0,0,0
351.63,704.651,610.952,699.845,330.536,695.269,556.982,1077.419
413.11,415.918,531.114,300.732,421.595,466.674,374.181,485.204
0,0,0,0,0,0,0,0
