"SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
41.725395,48.533592,24.404372,29.091111,12.812023,18.252004,28.696335,31.546265
0,0,0,0,0.00764,0,0,0
373.423509,311.975762,497.489728,734.933634,37.735517,131.595184,688.041086,679.999876
0,0,0.021284,0,0.043162,0,0.05848,0
0,0,0,0,0.080543,0,0,0
11.672223,18.793434,13.003147,10.755303,12.954643,12.753911,5.357318,28.109636
0.101531,0,0,0,0,0,0,0.360709
35.693797,35.69141,37.101078,33.832,30.92192,28.744506,34.272792,31.872857
6.699416,6.284142,8.267614,7.345937,7.834118,7.610455,9.709925,8.543691
0.265672,0.18905,0.146258,0,0,0.206153,0,0
0.061899,0.03107,0.051551,0,0.052296,0,0.070534,0.066327
0,0,0,0,0,0,0,0
0.088076,0.331568,0.256324,0.381801,0,0.093016,0.20082,0.708059
5.493629,4.68851,4.245712,1.933232,5.946178,5.065289,5.648682,3.413904
13.366996,24.929608,14.804085,34.416948,9.705605,15.708013,15.87078,25.294388
16.847264,14.166233,18.962208,16.442852,20.624194,20.703038,21.501548,16.285852
10.246896,10.448991,11.631805,10.798889,11.162111,12.218498,14.259358,13.416441
40.958378,53.292624,52.838984,61.0492,46.612908,57.359097,41.940864,62.526501
72.553369,94.979345,60.778575,64.274614,60.152199,77.134345,62.289355,80.557349
0,0,0.084467,0,0,0.066035,0,0.545178
23.560025,25.319877,20.884624,24.596428,21.925164,25.652219,20.820963,24.181371
0.038594,0.083005,0,0.111537,0,0.054341,0,0.16549
69.48638,53.190576,69.353588,56.781202,67.437077,55.726521,107.119506,51.464072
6.665937,4.313842,5.59669,3.35401,5.615124,3.852566,5.96506,3.908611
26.916402,20.994618,21.798063,17.940467,19.737459,18.488776,20.543229,19.392255
6.164902,3.63163,6.690119,5.589542,6.038616,5.782025,5.355504,2.476766
20.198033,20.484516,19.580484,20.157399,21.127377,19.773186,25.579522,20.436956
6.998065,15.587765,8.855172,17.909772,6.373989,14.275787,9.48544,24.100393
30.845219,33.721109,25.294334,32.783208,29.911984,32.945894,28.32236,30.999354
0.173447,0.186002,0.119602,0.093509,0.078287,0.042511,0.409354,0.138476
0,0,0,0,0,0,0,0
5.589953,12.791329,5.205303,12.338212,6.575404,12.208184,6.416748,13.890023
0.27241,0.219579,0.1884,0.229643,0.210127,0.703089,0.181239,0.876335
0.410925,0.319911,0.674379,0.617555,0.369527,0.453888,0.679292,1.542446
42.744067,44.125082,53.491502,62.526856,71.808582,60.442912,72.523049,79.443213
3.913609,2.079969,3.224245,0.411239,2.269016,0.589955,2.378043,0.894476
0.063101,0,0.06725,0.034779,0.0303,0.025406,0.041138,0
0.156138,0.051978,0.288362,0.279165,0.399749,0.391615,0.220839,0.15571
11.711324,8.048779,12.804181,11.672132,12.426525,18.140375,16.710292,16.254703
1.572481,1.071277,2.046824,0,0,0,2.158511,1.760226
0.137884,0.345636,0.343268,0.548011,0.115895,0.574121,0.33921,0.554188
2.855459,2.863378,2.998907,2.990841,1.581516,2.463837,4.031768,2.993571
9.705962,16.065134,6.46569,11.475457,8.069039,11.307451,8.855664,23.886077
2.004865,1.170002,3.513737,1.180446,2.413896,1.510733,2.487252,1.168035
19.484241,26.665415,20.84201,11.777309,23.03491,17.330205,18.643977,20.175879
15.351314,23.600777,25.839546,32.174532,22.082486,18.132057,34.577258,40.912338
0.735312,0.329313,0.413177,0.706114,0.438009,0.049679,0,0.485819
6.083525,6.53174,5.523342,7.569451,5.508975,7.155313,6.198698,7.398162
0,0,0,0,0,0,0,0
0.514063,0,0.197229,0.41606,0.160199,0.185857,1.113946,0
0.816289,0.127131,1.954528,0.552722,0.257894,0.239738,0.632795,0.218008
16.420219,13.640537,14.826702,12.436952,10.772875,14.000412,10.598259,7.293119
4.566816,4.567841,2.545618,4.251158,3.314906,2.446749,7.362049,3.452224
11.15087,15.23458,15.540184,15.656979,11.640041,10.45252,14.223201,10.834273
2.639459,1.995384,2.223774,0.824989,1.976898,1.574164,2.826393,1.171407
73.69971,53.574274,57.543453,41.516949,70.273692,50.534409,59.499522,47.118764
1.338928,1.995438,3.828386,1.050941,1.874495,1.575459,1.795728,1.178554
0.095665,0.082241,0.015874,0.055301,0.128754,0,0.065471,0.219931
0,0,0,0,0,0,0,0
2.81146,5.170038,3.647001,4.464286,4.647842,11.151082,4.595576,6.896692
0,0,0,0.112659,0,0,0,0
18.642123,17.052609,15.376377,23.622038,18.583798,24.31909,18.707563,28.046073
7.014469,3.823827,4.579371,2.209597,4.927878,2.374272,6.301608,2.046684
0,0,0,0,0,0,0,0
3.486267,9.16311,5.441787,10.579854,2.959163,5.074145,6.646569,13.505061
9.980485,11.039104,10.65082,10.332193,8.801763,7.840365,10.254617,13.020112
0,0,0,0,0,0,0,0
26.816293,21.432027,20.389272,22.312568,23.466453,22.768071,24.381036,22.982598
17.91868,10.58938,23.59627,12.246709,15.725031,13.907313,16.828987,20.506448
11.613952,8.598035,6.533159,5.211018,11.677135,9.154041,7.022528,9.096526
26.58213,29.658417,17.112172,27.564456,26.602307,28.337543,23.138252,23.615841
4.629519,4.36451,3.091579,9.016785,6.259161,6.482084,5.523154,4.968485
27.288007,22.594635,28.128482,21.24249,27.190969,28.216283,26.201273,21.995302
3.642141,4.606744,4.686343,3.340992,1.159672,2.732609,7.819377,16.389312
0,0.165708,0.207748,0.330681,0,0.098287,0,0.158541
0,0,0,0,0,0.190388,0.198098,0.169187
0,0,0,0,0,0,0,0
0,0,0,0,0.009862,0,0,0
0,0.288182,0.494682,0.386769,0.206939,0.344339,0.185614,0
10.712286,9.489851,10.156055,8.53898,11.102879,5.355516,15.083079,6.524585
7.03045,3.182153,7.527007,3.630879,6.098805,4.565351,6.824524,4.80942
45.065865,50.122307,46.569101,65.653016,52.155308,48.124548,43.882948,62.122048
0.264057,0.067127,0,0,0,0,0.2132,0
2.453302,3.104818,2.589479,4.469554,2.285825,3.400446,2.561413,3.277269
25.368956,24.908802,18.895705,19.283217,19.651524,21.506088,23.331195,19.857803
0.735103,0.382348,0.877066,1.102053,0.965222,0.526329,0.86265,0.54999
57.029765,62.421402,43.765755,48.663635,38.927174,41.803593,51.415575,59.282191
8.323473,12.186223,8.835502,14.668925,7.249433,10.048764,9.332912,14.777819
26.766653,25.753455,23.660296,21.971763,22.955329,22.667612,26.840496,27.332582
2.283401,1.926235,3.546311,1.872459,2.346223,2.737816,3.867753,4.232201
3.26459,5.671187,2.522631,4.155695,7.048973,3.693469,3.27582,8.302616
3.595985,4.757019,4.141676,5.715492,4.572799,6.525778,5.03188,6.164176
13.863765,20.035224,15.142181,21.404029,19.711694,30.965099,22.553376,26.021091
1.467839,0.991862,2.223026,1.466191,2.396345,2.053693,2.349074,1.359409
16.127499,16.069076,15.132857,21.005081,13.892863,21.475134,21.673711,28.17854
1.365945,5.061877,4.027846,4.997172,2.379004,3.46062,2.516065,5.001416
24.547383,16.134286,21.894117,19.303713,18.745548,15.6824,22.013002,19.528455
7.43932,26.586126,6.194315,3.922769,9.941729,13.747133,3.233221,25.374601
1.767377,0.767198,2.803226,2.753439,4.088731,1.575044,1.783148,3.384642
13.79837,14.615975,13.644078,11.551296,12.93945,11.620402,16.875989,16.436941
